year,song_title,artist_credit_name,artist_name,language_name,iso_code_3t,release_country_code,artist_country_code,track_id,recording_id,release_id,artist_id,likely_french_score,genre_name,genius_found,genius_song_id,genius_title,genius_artist,genius_url,genius_match_score,lyrics_found,lyrics_text,lyrics_source
1932.0,La Barque d'Yves,Lucienne Boyer,Lucienne Boyer,French,fra,FR,FR,34393031,18883638,3006558.0,121858.0,8,,True,1158254.0,La Barque DYves,Lucienne Boyer,https://genius.com/Lucienne-boyer-la-barque-dyves-lyrics,0.979,True,"1 Contributor
La Barque DYves Lyrics
Le matin se lève
Le long de la grève
L'ombre suit discrètement
Tout dans la nature
Mugit et murmure
Et rit au soleil ardent
Sur la barque folle
Qui tangue et qui vole
Yves m'a dit tendrement
Baisse les yeux ma mie
Et qu'importe le jour
Sur ta lèvre jolie
Mon baiser passe et court
Oublieux de la terre
Je t'aime et quand tu dors
L'amour et le mystère
Versent des rêves d'or
Mais un jour d'orage
Il a fait naufrage
Et notre barque a sombré
Marin qui succombe
N'a pas d'autre tombe
Que la mer qui fait pleurer

Mais depuis j'écoute
Car un jour sans doute
Je l'entendrai murmurer
Baisse les yeux ma mie
Le destin est plus fort
Que les lèvres jolies
Et que les rêves d'or
Quand ton coeur sans défense
Sera las de souffrir
Viens dans la mer immense
Près de moi t'endormir
Je viens de l'entendre
Et sa voix si tendre
Redit mon nom doucement
Ma douleur est morte
La barque m'emporte
Près de celui qui m'attend
Une vague douce
M'entraîne et me pousse
Et me dit en m'enlaçant
Ferme les yeux ma mie
Et qu'importe le jour
Sur ta lèvre jolie
Lentement meurt l'amour

Les bonheurs de la Terre
Sont brisés par le sort
Seuls l'ombre et le mystère
Bercent nos rêves d'or",genius
1932.0,Ne dis pas toujours,Lucienne Boyer,Lucienne Boyer,French,fra,FR,FR,34393032,18910083,3006558.0,121858.0,7,,False,,,,,0.0,False,,
1925.0,"Introduction et Rondo Capriccioso, op. 28: Part I",Camille Saint‐Saëns,Camille Saint‐Saëns,French,fra,GB,FR,24596802,22077943,2100991.0,10289.0,6,,False,,,,,0.0,False,,
1925.0,"Introduction et Rondo Capriccioso, op. 28: Part II",Camille Saint‐Saëns,Camille Saint‐Saëns,French,fra,GB,FR,24596803,22077944,2100991.0,10289.0,6,,False,,,,,0.0,False,,
1930.0,Dans la fumée,Lucienne Boyer,Lucienne Boyer,French,fra,FR,FR,12533741,18883635,588185.0,121858.0,8,,False,,,,,0.0,False,,
1926.0,Brown Eyes Why Are You Blue?,Joséphine Baker,Joséphine Baker,English,eng,FR,FR,7517875,8859064,485058.0,4322.0,4,,True,82309.0,Portrait of the Artist as a Young Man Chapter 2,James Joyce,https://genius.com/James-joyce-portrait-of-the-artist-as-a-young-man-chapter-2-lyrics,0.3061,False,,
1926.0,You Are the Only One for Me,Joséphine Baker,Joséphine Baker,English,eng,FR,FR,7517876,8304255,485058.0,4322.0,4,,True,288445.0,Hitting The Gold Mine: Run The Jewels Q&A,NME,https://genius.com/Nme-hitting-the-gold-mine-run-the-jewels-q-a-annotated,0.3454,False,,
1927.0,I Love Dancing,Joséphine Baker,Joséphine Baker,English,eng,FR,FR,7585261,23003051,492897.0,4322.0,4,,True,386688.0,Babylon Revisited,F. Scott Fitzgerald,https://genius.com/F-scott-fitzgerald-babylon-revisited-annotated,0.292,False,,
1927.0,Lonesome Lovesick Blues,Joséphine Baker,Joséphine Baker,English,eng,FR,FR,7585262,15670983,492897.0,4322.0,4,,True,151191.0,Finnegans Wake (Chap. 2.1),James Joyce,https://genius.com/James-joyce-finnegans-wake-chap-21-annotated,0.2665,False,,
1930.0,J’ai deux amours,Joséphine Baker,Joséphine Baker,French,fra,FR,FR,7781420,45447,516258.0,4322.0,7,,True,2067658.0,J’ai Deux Amours,Josephine Baker,https://genius.com/Josephine-baker-jai-deux-amours-lyrics,0.9767,True,"4 Contributors
J’ai Deux Amours Lyrics
[Paroles de ""J'ai deux amours""]
[Couplet]
On dit qu'au delà des mers, là-bas sous le ciel clair
Il existe une cité au séjour enchanté
Et sous les grands arbres noirs, chaque soir
Vers elle s'en va tout mon espoir
[Refrain]
J'ai deux amours
Mon pays et Paris
Par eux, toujours
Mon cœur est ravi
Ma savane est belle
Mais à quoi bon le nier
Ce qui m'ensorcelle
C'est Paris, Paris tout entier
Le voir un jour
C'est mon rêve joli
J'ai deux amours
Mon pays et Paris
[Vocalises]
[Pont]
Ce qui m'ensorcelle
C'est Paris, Paris tout entier

[Refrain]
Le voir un jour
Oh oh-oh oh-oh-oh
J'ai deux amours... Ti-li-ti-ti-ti
Mon pays... Ti-li-ti",genius
